participant_id,condition,week,imageid,time_point,accuracy,belief,confidence,ground_truth,seen,ai_usage,ai_image_usage,ai_literacy
5c4f5967aac8be0001716a65,Persuasive,0,11,with,1,0,100,fake,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,111,after,1,0,42,fake,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,2,before,1,1,44,real,True,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,2,with,1,1,86,real,True,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,102,after,1,1,62,real,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,9,before,0,0,79,real,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,9,with,1,1,100,real,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,109,after,1,1,53,real,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,8,before,1,0,87,fake,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,8,with,1,0,100,fake,False,0-2 hours a day,Rarely,5.666666666666667
5c4f5967aac8be0001716a65,Persuasive,0,108,after,1,0,60,fake,False,0-2 hours a day,Rarely,5.666666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,5,before,1,0,10,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,5,with,1,0,99,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,105,after,1,1,90,real,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,8,before,0,1,50,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,8,with,1,0,100,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,108,after,1,0,90,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,11,before,1,0,15,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,11,with,1,0,75,fake,False,Once a week,Never,4.166666666666667
5caccbc4976d010014b9cd9d,Persuasive,0,111,after,0,1,30,fake,False,Once a week,Never,4.166666666666667
